transfer,sendCpuUtil,sendDiskUtil,sendProcNum,sendTransferCpu,recvCpuUtil,recvDiskUtil,recvProcNum,recvTransferCpu,btlNckRate,dur,size,rate
137,91.2719512195,31.5645098039,657.609756098,11.0827160494,100.0,23.1916503268,418.833333333,24.28,460.265549375,195.16,10.0,440
194,100.0,19.0275863991,1045.48387097,1.80357142857,100.0,14.3229152731,412.923497268,9.87540983607,106.978484916,300.25,3.58,102
26,100.0,27.4281860037,484.337837838,6.52083333333,100.0,23.8461141805,418.580952381,27.5,1000,173.19,10.0,496
156,91.9656846473,30.9495694444,709.265822785,8.83604651163,100.0,20.9782019364,415.907142857,21.8721428571,387.633697009,231.73,9.99,370
202,97.0043,25.9124247492,825.113924051,3.47012987013,100.0,2.46607580825,610.11965812,5.38290598291,208.06336556,300.17,6.93,198
203,96.5824666667,28.6233835006,866.418918919,2.68461538462,100.0,2.68643255295,614.10619469,5.55575221239,197.300971636,300.31,6.60,189
208,96.9215,27.1489687848,882.861111111,3.372,100.0,4.57410813824,612.788135593,5.08983050847,185.626654944,300.05,6.19,177
214,97.7754666667,31.0250222965,864.044117647,3.42575757576,100.0,6.4434671126,515.767123288,7.41917808219,223.912715564,300.06,7.47,214
242,100.0,23.0027257525,1182.34482759,1.77307692308,100.0,7.66816610925,573.79389313,5.45877862595,108.791177693,300.18,3.64,104
166,95.5911740891,32.9171680217,726.324675325,9.88133333333,100.0,19.583414305,418.458333333,15.8784722222,377.480067034,237.97,10.0,361
212,96.9725333333,31.6356075808,842.527777778,3.62463768116,100.0,6.5956187291,518.517482517,7.82797202797,228.119818766,300.12,7.61,218
161,93.5241754386,27.6157100939,715.47311828,7.31098901099,100.0,29.131625731,414.790419162,22.245508982,324.015934983,277.22,10.0,310
104,75.8633333333,19.0429487179,574.5,8.4036809816,100.0,4.50196767001,613.064814815,5.01666666667,1000,300.02,6.82,195
209,97.6618333333,30.644793757,848.471428571,4.19275362319,100.0,8.49585284281,514.135714286,7.60428571429,230.514957312,300.04,7.70,220
9,13.2529661017,46.1201709402,364.303797468,16.9077922078,100.0,26.8217236467,420.294117647,31.2426470588,1000,109.71,10.0,783
36,100.0,21.572397892,526.181818182,4.96511627907,100.0,23.5796772069,414.513333333,19.9093333333,1000,246.41,10.0,349
54,37.48696,23.8425301205,463.230769231,12.1967532468,100.0,9.74384,497.823529412,11.5243697479,1000,231.53,9.98,370
198,98.7222333333,25.3176365663,803.55,3.47435897436,100.0,5.35937012263,615.083333333,5.00555555556,205.527891057,300.12,6.86,196
164,95.625465587,30.470799458,720.063291139,9.48571428571,100.0,21.854233871,422.821917808,21.6095890411,377.458369745,237.98,10.0,361
91,100.0,23.9913954802,612.058139535,4.49397590361,100.0,12.7895141243,494.964788732,11.0049295775,1000,277.76,10.0,309
144,90.5682656827,26.9676296296,691.53,7.11081081081,100.0,23.9736728395,417.58490566,21.7748427673,342.595613807,262.19,10.0,328
96,99.9979333333,19.0341471572,680.14516129,2.65076923077,100.0,11.4437625418,415.865921788,10.6502793296,1000,300.63,6.06,173
223,100.0,24.748690078,1111.65714286,2.1303030303,100.0,9.63415830546,512.939189189,6.49256756757,123.520270087,300.17,4.13,118
98,99.9979333333,18.7794147157,683.967213115,2.80677966102,100.0,10.0921906355,414.538888889,9.35888888889,1000,300.09,5.75,165
222,100.0,25.804916388,1110.5,2.13235294118,100.0,8.5495039019,513.100671141,6.5033557047,122.584335169,300.41,4.10,117
180,100.0,21.2608862876,805.06,2.68085106383,100.0,18.3012931996,415.446927374,13.2346368715,155.912122027,300.13,5.21,149
150,90.4429333333,16.0324247492,699.302752294,3.79158878505,100.0,46.7356410256,418.905027933,23.6703910615,96.5458061188,300.06,3.23,92.3
238,100.0,25.9891471572,1183.45454545,2.17333333333,100.0,10.5549386845,540.482993197,6.79659863946,124.361208971,300.09,4.15,119
77,99.9995219124,23.6056733333,582.931818182,4.13294117647,100.0,7.53119333333,477.053435115,12.7282442748,1000,234.27,9.98,366
231,100.0,25.9445652174,1015.86111111,2.27272727273,100.0,12.9831828317,527.647887324,7.22112676056,125.793854417,300.20,4.20,120
171,97.3890252708,29.5448731884,736.127906977,7.74,100.0,26.4919927536,418.851851852,21.1462962963,335.747745274,267.55,10.0,321
24,100.0,24.717839196,476.085365854,7.3075,100.0,22.2795561139,416.186440678,24.1754237288,1000,191.69,10.0,448
31,99.998503937,19.4961264822,505.233333333,4.94526315789,100.0,24.956916996,412.58,19.4253333333,1000,245.55,10.0,350
82,100.0,26.5650506971,592.731707317,3.88101265823,100.0,9.2079040404,497.62601626,10.6219512195,1000,243.43,9.99,353
102,74.6949,21.024916388,566.976744186,7.4,100.0,3.14592530658,613.068965517,5.58706896552,1000,300.00,7.50,215
174,97.9128158845,30.3763707729,742.329411765,8.31445783133,100.0,19.1733153477,416.725609756,15.537804878,335.003124636,268.14,10.0,320
65,45.7746,19.4167001115,490.24,10.1852791878,100.0,6.65178372352,515.14,9.12066666667,1000,300.00,9.62,275
42,29.8796261682,26.8319561815,434.222222222,13.1082706767,100.0,9.45450704225,477.844036697,13.8963302752,1000,197.58,9.98,434
193,100.0,19.1447881828,1097.66666667,1.68888888889,100.0,15.1560925307,412.109289617,10.406010929,110.969387219,300.29,3.71,106
64,47.0704745763,23.1594444444,493.093922652,12.1351955307,100.0,7.77496610169,517.827067669,8.72932330827,1000,269.58,9.98,318
74,99.9979079498,24.3493417367,569.694117647,5.93855421687,100.0,9.94371148459,476.109243697,12.9260504202,1000,221.98,9.98,386
